SaleID,CustomerID,ProductID,SaleDate,Quantity,SaleAmount,Discount,TotalAmount,PaymentMethod,SalesRepID
1,999,15,2024-05-02 06:06:43.008536,6,595.48,146.51,448.97,Bank Transfer,37
2,993,30,2023-08-17 06:06:43.008563,5,407.1,33.24,373.86,Debit Card,5
3,195,42,2023-10-09 06:06:43.008578,9,492.18,79.31,412.87,Credit Card,4
4,694,4,2024-04-27 06:06:43.008590,2,561.46,93.33,468.13000000000005,Debit Card,47
5,426,11,2023-09-24 06:06:43.008604,5,849.53,68.4,781.13,Debit Card,3
6,582,32,2023-09-06 06:06:43.008616,3,105.94,16.25,89.69,Credit Card,6
7,586,2,2024-04-12 06:06:43.008626,9,594.37,112.88,481.49,Credit Card,3
8,700,76,2023-08-10 06:06:43.008640,6,821.0,26.08,794.92,PayPal,40
9,157,22,2023-10-16 06:06:43.008655,3,383.19,74.46,308.73,Credit Card,24
10,747,38,2023-08-11 06:06:43.008666,6,936.24,117.9,818.34,PayPal,16
11,413,91,2023-09-06 06:06:43.008675,3,882.52,17.64,864.88,Credit Card,5
12,578,49,2023-10-04 06:06:43.008684,9,41.07,9.6,31.47,Credit Card,7
13,981,8,2023-08-24 06:06:43.008693,2,263.21,7.78,255.42999999999998,Debit Card,14
14,651,73,2023-11-06 06:06:43.008701,8,331.1,45.83,285.27000000000004,Bank Transfer,1
15,790,39,2023-07-26 06:06:43.008710,10,156.65,21.97,134.68,Credit Card,42
16,872,58,2023-11-15 06:06:43.008721,2,926.68,52.29,874.39,Credit Card,10
17,29,59,2023-09-15 06:06:43.008729,8,290.79,70.92,219.87,Credit Card,25
18,555,85,2024-05-09 06:06:43.008739,3,639.07,5.33,633.74,Credit Card,48
19,311,71,2024-01-04 06:06:43.008749,7,736.0,91.15,644.85,Bank Transfer,32
20,360,91,2023-07-15 06:06:43.008759,5,699.54,13.15,686.39,Credit Card,41
21,379,54,2023-11-09 06:06:43.008768,5,952.96,111.49,841.47,Debit Card,39
22,497,41,2024-03-09 06:06:43.008777,3,293.66,7.95,285.71000000000004,Debit Card,14
23,200,62,2023-10-19 06:06:43.008786,4,304.86,39.98,264.88,Debit Card,35
24,761,75,2024-06-10 06:06:43.008795,10,286.36,21.44,264.92,Credit Card,45
25,948,77,2023-12-20 06:06:43.008806,5,75.48,10.4,65.08,PayPal,5
26,294,72,2023-07-08 06:06:43.008816,1,421.93,86.48,335.45,Bank Transfer,13
27,166,13,2024-04-21 06:06:43.008825,1,957.53,160.39,797.14,Debit Card,50
28,210,29,2023-12-18 06:06:43.008834,8,606.16,2.01,604.15,Debit Card,26
29,652,50,2023-08-13 06:06:43.008844,4,814.29,152.53,661.76,PayPal,46
30,177,76,2024-01-06 06:06:43.008853,2,387.65,84.2,303.45,Bank Transfer,5
31,795,89,2024-02-05 06:06:43.008863,1,266.78,21.46,245.31999999999996,Debit Card,49
32,432,91,2023-07-31 06:06:43.008872,3,182.11,34.83,147.28000000000003,Credit Card,14
33,957,39,2023-09-04 06:06:43.008881,2,238.77,8.45,230.32000000000002,Credit Card,4
34,358,50,2024-05-16 06:06:43.008890,6,244.94,29.46,215.48,Bank Transfer,44
35,726,61,2023-12-06 06:06:43.008900,1,621.87,10.51,611.36,Debit Card,10
36,511,32,2023-12-10 06:06:43.008909,7,719.74,166.12,553.62,PayPal,29
37,988,48,2024-05-10 06:06:43.008919,3,364.52,3.65,360.87,Bank Transfer,49
38,715,44,2024-05-31 06:06:43.008929,2,787.28,125.95,661.3299999999999,Bank Transfer,50
39,986,9,2023-09-18 06:06:43.008937,8,430.23,91.89,338.34000000000003,Bank Transfer,22
40,556,30,2024-04-24 06:06:43.008946,5,949.07,193.96,755.11,PayPal,34
41,274,34,2023-12-14 06:06:43.008955,8,605.1,22.87,582.23,Credit Card,12
42,993,39,2024-05-14 06:06:43.008964,8,197.12,4.53,192.59,PayPal,45
43,74,22,2024-02-09 06:06:43.008974,4,589.61,10.21,579.4,Debit Card,43
44,524,43,2024-05-20 06:06:43.008983,8,800.14,58.09,742.05,PayPal,37
45,870,25,2024-04-03 06:06:43.008992,9,391.6,89.96,301.64000000000004,PayPal,19
46,6,2,2023-07-15 06:06:43.009000,10,301.96,61.5,240.45999999999998,PayPal,22
47,773,71,2023-06-25 06:06:43.009009,7,219.74,53.08,166.66000000000003,PayPal,10
48,798,16,2023-07-29 06:06:43.009018,4,212.98,47.82,165.16,Credit Card,8
